,did,dre,gid
889,6,Field Goal,2009092707
890,7,Punt,2009092707
891,8,Touchdown,2009092707
892,9,Touchdown,2009092707
893,10,Touchdown,2009092707
894,11,Touchdown,2009092707
895,12,End of Half,2009092707
896,13,Punt,2009092707
897,14,Field Goal,2009092707
898,15,Punt,2009092707
899,16,Punt,2009092707
900,17,Punt,2009092707
901,18,Punt,2009092707
902,19,Touchdown,2009092707
903,20,Punt,2009092707
904,21,Punt,2009092707
905,22,Interception,2009092707
906,23,Touchdown,2009092707
907,24,Downs,2009092707
908,25,End of Game,2009092707
909,1,Touchdown,2009092708
910,2,Punt,2009092708
911,3,Punt,2009092708
912,4,Interception,2009092708
913,5,Touchdown,2009092708
914,6,Punt,2009092708
915,7,Punt,2009092708
916,8,Punt,2009092708
917,9,Punt,2009092708
918,10,Punt,2009092708
919,11,Missed FG,2009092708
920,12,End of Half,2009092708
921,13,Punt,2009092708
922,14,Field Goal,2009092708
923,15,Punt,2009092708
924,16,Touchdown,2009092708
925,17,Punt,2009092708
926,18,Punt,2009092708
927,19,Downs,2009092708
928,20,End of Game,2009092708
929,1,Touchdown,2009092709
930,2,Punt,2009092709
931,3,Downs,2009092709
932,4,Touchdown,2009092709
933,5,Fumble,2009092709
934,6,Punt,2009092709
935,7,Punt,2009092709
936,8,Field Goal,2009092709
937,9,Punt,2009092709
938,10,Punt,2009092709
939,11,Punt,2009092709
940,12,End of Half,2009092709
941,13,Punt,2009092709
942,14,Punt,2009092709
943,15,Interception,2009092709
944,16,Punt,2009092709
945,17,Punt,2009092709
946,18,Punt,2009092709
947,19,Punt,2009092709
948,20,Touchdown,2009092709
949,21,Punt,2009092709
950,22,Field Goal,2009092709
951,23,Downs,2009092709
952,24,Touchdown,2009092709
953,25,Punt,2009092709
954,26,End of Game,2009092709
955,1,Missed FG,2009092710
956,2,Touchdown,2009092710
957,3,Interception,2009092710
958,4,Field Goal,2009092710
959,5,Punt,2009092710
960,6,Field Goal,2009092710
961,7,Punt,2009092710
962,8,Punt,2009092710
963,9,Touchdown,2009092710
964,10,Missed FG,2009092710
965,11,End of Half,2009092710
966,12,Fumble,2009092710
967,13,Touchdown,2009092710
968,14,Missed FG,2009092710
969,15,Punt,2009092710
970,16,Interception,2009092710
971,17,Field Goal,2009092710
972,18,Field Goal,2009092710
973,19,Punt,2009092710
974,20,Punt,2009092710
975,21,Fumble,2009092710
976,22,Field Goal,2009092710
977,23,Touchdown,2009092710
978,24,Downs,2009092710
979,25,End of Game,2009092710
980,1,Touchdown,2009092711
981,2,Fumble,2009092711
982,3,Touchdown,2009092711
983,4,Punt,2009092711
984,5,Punt,2009092711
985,6,Punt,2009092711
986,7,Fumble,2009092711
987,8,Touchdown,2009092711
988,9,Punt,2009092711
989,10,Downs,2009092711
990,11,Punt,2009092711
991,12,Interception,2009092711
992,13,Punt,2009092711
993,14,Field Goal,2009092711
994,15,End of Half,2009092711
995,16,Touchdown,2009092711
996,17,Punt,2009092711
997,18,Punt,2009092711
998,19,Punt,2009092711
999,20,Touchdown,2009092711
1000,21,Punt,2009092711
1001,22,Punt,2009092711
1002,23,Punt,2009092711
1003,24,Field Goal,2009092711
1004,25,Punt,2009092711
1005,26,Punt,2009092711
1006,27,Punt,2009092711
